NO,ID,LERI,Order,fsr1,fsr2,fsr3,fsr4,fsr5,fsr6,fsr7,fsr8,fsr9,fsr10,fsr11,fsr12,fsr13,fsr14,fsr15,fsr16,fsr17,fsr18,fsr19,fsr20,fsr21,fsr22,fsr23,fsr24,fsr25,fsr26,fsr27,fsr28,fsr29,fsr30,fsr31,fsr32,fsr33,fsr34,fsr35,fsr36,fsr37,fsr38,fsr39,fsr40,time
NO,1,1,1,0,623.4533333,5974.885667,0,48.15433333,760.598,525.664,0,526.4303333,6573.572,9682.768667,0.021666667,356.98,43.31233333,0,0,60.14766667,13.813,0,0,27.535,79.662,0,0,0,1933.861333,3.878,0,0,5219.968,1288.563667,0,0,176.4646667,0,0,0,0,0,0,1.314466
NO,1,1,2,0,0,0,0,0,3.9984375,0,0,1.5234375,0.028125,14367.1625,0.00625,0.4,9299.746562,4266.678125,0,643.7059375,2627.184063,4697.352188,0,152.8640625,28.93375,0,0,19.8703125,38.225,0,0,0.0375,396.1265625,0,0,0.028125,6754.855938,4192.284688,0,0,5762.1775,4428.578437,0,1.383623
NO,1,1,3,0,423.3651724,968.3737931,0,999.8489655,48.00724138,993.1703448,2.231034483,38.43310345,6139.735172,5941.945517,0.006896552,928.1989655,2469.321034,419.9755172,0,44.87344828,429.2844828,0,0,0,634.0303448,0,0,0,1007.691034,1.98137931,0,0.013793103,4158.651724,3814.278276,0,0,649.7213793,1602.675862,0,0.006896552,0,0,0,1.181797
NO,1,1,4,0,0,0,0,0.007142857,20.465,2544.786071,0,1.284285714,2596.332857,3173.249286,0.007142857,247.5167857,6344.551786,3762.673571,0,93.44285714,411.6539286,0,0,0,763.9035714,0,0,0,588.4864286,0,0,0,2175.482143,3534.245357,0,0.007142857,360.8210714,4172.238571,0,0,0,0,0,1.193663
NO,1,1,5,12.41916667,0,9528.21375,0,1.651666667,8649.618333,8702.913333,0,2362.050417,3715.466667,3862.088333,0,320.2066667,141.4395833,0.089583333,0,0,800.2283333,0,0,0,55.30333333,971.5670833,0,0.008333333,0,56.90625,2445.87875,0,0.158333333,1205.537917,896.7495833,0,0,0,0,0.008333333,0,0,0,1.021156
NO,1,1,6,0,0,0,0,0.054166667,80.32416667,3468.633333,0,127.0858333,626.6252778,106.4544444,0,103.6822222,7212.621944,5037.112778,0,136.1336111,1065.290833,0,0,0.019444444,609.1530556,0,0,0,520.1780556,0,0,0,1235.620278,2395.925556,0,0.011111111,1118.327222,4210.159167,0,0,0,13.62555556,0,1.564633
NO,1,1,7,0,0,0,0,0,1368.824138,305.0137931,0,54.29172414,0.204827586,15982.82241,0,9.456206897,10843.09379,5703.718276,0,1426.995172,3685.957586,2549.527241,0,543.2075862,118.4851724,0,0,0.501034483,116.8306897,0,0,0,470.6165517,48.39758621,0,0.006896552,1790.631724,2586.555517,0,0.006896552,99.76344828,1417.684828,0,1.246696
NO,1,1,8,0,0,0,0,0.007407407,436.9466667,422.7733333,7732.206296,26.42296296,88.48,3044.187407,0.901481481,10.14703704,5225.522963,2070.789259,664.7648148,0,1751.416296,0,0,0,1339.561481,0,0,0,507.2007407,2.579259259,0,0,71.58777778,4724.589259,4.774074074,0,0.17962963,5744.655556,28.58814815,0,0,0,0,1.197465
NO,1,1,9,0,0.025,0,0,0,75.03392857,2930.983214,1.092142857,66.82285714,641.1310714,197.2292857,0.042857143,122.93,7539.726786,3848.768571,0,134.5042857,1513.100714,0,0,0,1132.441786,0,0,0.033928571,674.6185714,0,0,0,1924.1825,3092.563214,0,0,2543.2175,5017.092143,0,0,0,6.394285714,0,1.252195
NO,1,1,10,0,0,0,0,0.023333333,1195.1,1076.515333,0,949.5813333,3.055,119.549,0.056666667,3.472666667,9542.885667,7752.176333,0,215.8666667,3285.791,2049.887667,0,65.89933333,81.67633333,0,0,8.032333333,67.77866667,0,0,0.015,715.907,4.999666667,0,0.036666667,2972.326,692.4006667,0,0,1122.230333,13.02933333,0,1.227081
NO,1,1,11,0,0,0,0,35.77115385,1727.803077,0,0,12.70730769,1767.790769,2.090384615,0.007692308,1087.831538,3328.714615,257.9088462,0,73.3,0.063461538,0,0,152.2019231,4.95,0,0,102.0807692,125.3269231,0,0,13.76269231,1684.183846,190.4173077,0,0,8311.723462,559.7723077,0,0,0,0,0,1.148257
NO,1,1,12,0,2049.829677,690.9235484,0,504.31,0,10575.07516,0,7.298387097,4157.006774,3759.271613,0.062903226,888.4096774,652.1693548,312.3677419,0,86.7883871,39.13064516,0,0,19.86064516,73.32741935,0,0,0.006451613,800.6903226,0.932903226,0,0,1301.561935,2500.653871,0,0,3924.33,99.13677419,0,0,0,0,0,1.363799
NO,1,1,13,0,0.012162162,0.109459459,0,22.20918919,20.10567568,3832.146486,0,18.77216216,2733.523784,71.10972973,0,2855.565405,3250.335405,1057.49,0,638.2140541,48.21459459,0,0,128.2108108,190.4608108,0,0,1.825675676,784.5643243,0,0,0.005405405,767.2983784,2137.181081,0,0.005405405,4706.688378,4326.843514,0,0.005405405,0,0,0,1.608214
NO,1,1,14,0,0.00625,1.3146875,0,0.0140625,29.923125,81.285625,5413.028125,159.3628125,3296.969688,2820.846875,1.871875,683.579375,2176.435313,403.1553125,4.551875,53.7821875,1372.36,0,0,18.524375,154.7390625,0,0,0,645.5159375,0,0,0.00625,1055.564063,947.02875,0,0,4475.7075,34.4171875,0,0,0,0,0,1.388959
